NCT_ID,Brief_Title,Official_Title,Start_Date,Year,Status,Phase,Enrollment,Enrollment_Type,Sponsor_Class,Countries,Subspecialty,Retina_Subtype,Modality,AI_Tag,Was_UpRanked,Source_MeSH,Source_Text
NCT00000128,A Trial of Bifocals in Myopic Children With Esophoria,,1996-06-30,1999,UNKNOWN,PHASE3,,,NIH,Missing/Not Listed,Neuro-Ophthalmology,Neuro-Ophthalmology,Device/Hardware,True,False,True,True
NCT00000129,Prospective Evaluation of Radial Keratotomy (PERK) Study,,1981-04-30,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Refractive Surgery,Refractive Surgery,Surgical/Interventional,False,False,True,False
NCT00000130,Endophthalmitis Vitrectomy Study (EVS),,1990-02-28,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Uveitis & Inflammation,Uveitis & Inflammation,Pharmacologic,False,False,True,True
NCT00000131,Central Vein Occlusion Study (CVOS),,1988-08-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000132,Early Manifest Glaucoma Trial (EMGT),,1992-10-31,1999,UNKNOWN,PHASE3,,,NIH,Sweden,Glaucoma,Glaucoma,Pharmacologic,False,False,True,True
NCT00000133,Cryotherapy for Retinopathy of Prematurity (CRYO-ROP) - Outcome Study of Cryotherapy for Retinopathy of Prematurity,,1986-01-31,1999,COMPLETED,,,,NIH,United States,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000134,Studies of the Ocular Complications of AIDS (SOCA)--Cytomegalovirus Retinitis Retreatment Trial (CRRT),Cytomegalovirus Retinitis Retreatment Trial,1992-12-31,1999,COMPLETED,PHASE3,279.0,ACTUAL,Other,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000135,Studies of the Ocular Complications of AIDS (SOCA)--Monoclonal Antibody CMV Retinitis Trial (MACRT),Monoclonal Antibody CMV Retinitis Trial (MACRT),1995-09-30,1999,COMPLETED,PHASE2/PHASE3,209.0,ACTUAL,Other,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000136,Studies of the Ocular Complications of AIDS (SOCA)--Foscarnet-Ganciclovir CMV Retinitis Trial (FGCRT),Foscarnet-Ganciclovir CMV Retinitis Trial,1990-03-31,1999,COMPLETED,PHASE3,234.0,ACTUAL,Other,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000137,Collaborative Corneal Transplantation Studies (CCTS),,1986-05-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Cornea & Ocular Surface,Cornea & Ocular Surface,Surgical/Interventional,False,False,False,True
NCT00000138,Herpetic Eye Disease Study (HEDS) I,,1989-05-31,1999,UNKNOWN,PHASE3,,,NIH,Missing/Not Listed,Uveitis & Inflammation,Uveitis & Inflammation,Pharmacologic,False,False,True,True
NCT00000139,Herpetic Eye Disease Study (HEDS) II,,1992-10-31,1999,COMPLETED,PHASE3,,,NIH,United States,Uveitis & Inflammation,Uveitis & Inflammation,Pharmacologic,False,False,True,True
NCT00000140,The Silicone Study,,1985-09-30,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000142,Studies of the Ocular Complications of AIDS (SOCA)--HPMPC Peripheral CMV Retinitis Trial (HPCRT),Studies of the Ocular Complications of AIDS (SOCA)--HPMPC Peripheral CMV Retinitis Trial (HPCRT),1994-04-30,1999,COMPLETED,PHASE2/PHASE3,64.0,ACTUAL,Other,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000143,Studies of Ocular Complications of AIDS (SOCA)--Ganciclovir-Cidofovir CMV Retinitis Trial (GCCRT),Studies of Ocular Complications of AIDS (SOCA)--Ganciclovir-Cidofovir CMV Retinitis Trial (GCCRT),1997-05-31,1999,COMPLETED,PHASE3,61.0,ACTUAL,Other,United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000144,Glaucoma Laser Trial (GLT) Glaucoma Laser Trial Followup Study (GLTFS),,1984-01-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Glaucoma,Glaucoma,Surgical/Interventional,False,False,True,True
NCT00000145,Age-Related Eye Disease Study (AREDS),Age-Related Eye Disease Study (AREDS),1990-09-30,1999,COMPLETED,PHASE3,4757.0,ACTUAL,NIH,Missing/Not Listed,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,True
NCT00000146,Optic Neuritis Treatment Trial (ONTT),,1988-07-31,1999,UNKNOWN,PHASE3,,,NIH,United States,Neuro-Ophthalmology,Neuro-Ophthalmology,Pharmacologic,False,False,True,True
NCT00000147,Longitudinal Optic Neuritis Study (LONS),,1988-07-31,1999,UNKNOWN,,,,NIH,United States,Neuro-Ophthalmology,Neuro-Ophthalmology,Pharmacologic,False,False,True,True
NCT00000148,Advanced Glaucoma Intervention Study (AGIS),,1988-04-30,1999,UNKNOWN,PHASE3,,,NIH,United States,Glaucoma,Glaucoma,Surgical/Interventional,False,False,True,True
NCT00000149,Collaborative Initial Glaucoma Treatment Study (CIGTS),,1993-10-31,1999,UNKNOWN,PHASE3,,,NIH,Missing/Not Listed,Glaucoma,Glaucoma,Pharmacologic,False,False,True,True
NCT00000150,Submacular Surgery Trials (SST),Submacular Surgery Trials (SST),1999-01-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000151,Early Treatment Diabetic Retinopathy Study (ETDRS),,1979-12-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000152,Randomized Trial of Beta-Carotene and Macular Degeneration,,1982-04-30,1999,UNKNOWN,PHASE3,,,NIH,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000153,Krypton-Argon Regression of Neovascularization Study (KARNS),,1984-12-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000154,Diabetic Retinopathy Vitrectomy Study (DRVS),,1976-10-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000155,The Collaborative Longitudinal Evaluation of Keratoconus (CLEK) Study,,1995-06-30,1999,UNKNOWN,,,,NIH,United States,Cornea & Ocular Surface,Cornea & Ocular Surface,Other/Unspecified,False,False,True,True
NCT00000156,The Effects of Light Reduction on Retinopathy of Prematurity (Light-ROP),,1995-07-31,1999,COMPLETED,PHASE3,,,NIH,United States,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000157,Randomized Trial of Aspirin and Cataracts in U.S. Physicians,,1982-04-30,1999,TERMINATED,PHASE3,,,NIH,Missing/Not Listed,Cataract & Lens,Cataract & Lens,Pharmacologic,False,False,True,True
NCT00000158,Macular Photocoagulation Study (MPS),,1979-02-28,1999,UNKNOWN,PHASE3,,,NIH,Missing/Not Listed,Uveitis & Inflammation,Uveitis & Inflammation,Surgical/Interventional,False,False,True,True
NCT00000159,Sorbinil Retinopathy Trial (SRT),,1983-08-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000160,Diabetic Retinopathy Study (DRS),,1972-01-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000161,Randomized Trials of Vitamin Supplements and Eye Disease,,1993-08-31,1999,UNKNOWN,PHASE3,,,NIH,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000162,Branch Vein Occlusion Study,,1977-07-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000163,Congenital Esotropia Observational Study (CEOS),,1997-12-31,1999,COMPLETED,,,,NIH,Missing/Not Listed,Neuro-Ophthalmology,Neuro-Ophthalmology,Other/Unspecified,False,False,True,True
NCT00000167,Complications of Age-Related Macular Degeneration Prevention Trial,Complications of Age-Related Macular Degeneration Prevention Trial (CAPT),1999-05-31,1999,COMPLETED,PHASE3,1052.0,ACTUAL,NIH,United States,Retina,Surgical Retina,Surgical/Interventional,False,False,True,True
NCT00000168,Longitudinal Study of Ocular Complications of AIDS (LSOCA),Studies of Ocular Complications of AIDS (SOCA),1998-08-31,1999,COMPLETED,,2392.0,ACTUAL,Other,United States,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,True
NCT00000169,The Collaborative Longitudinal Evaluation of Ethnicity and Refractive Error (CLEERE) Study,,1999-04-30,1999,UNKNOWN,,,,NIH,United States,Refractive Surgery,Refractive Surgery,Other/Unspecified,False,False,True,True
NCT00000170,Occlusion Versus Pharmacologic Therapy for Moderate Amblyopia,Amblyopia Treatment Study: Occlusion Versus Pharmacologic Therapy for Moderate Amblyopia,1999-04-30,1999,COMPLETED,PHASE3,419.0,ACTUAL,Other,United States,Pediatrics & Strabismus,Pediatrics & Strabismus,Pharmacologic,False,False,True,True
NCT00000665,Studies of the Ocular Complications of AIDS (SOCA) CMV Retinitis Trial: Foscarnet-Ganciclovir Component,Studies of the Ocular Complications of AIDS (SOCA) CMV Retinitis Trial: Foscarnet-Ganciclovir Component,,2001,COMPLETED,,240.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000668,A Phase I Pharmacokinetic and Tolerance Study of 28-Day Regimens of Oral Ganciclovir,A Phase I Pharmacokinetic and Tolerance Study of 28-Day Regimens of Oral Ganciclovir,,2001,COMPLETED,PHASE1,48.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000673,A Phase I/II Open-Labelled Trial of Intravitreal Ganciclovir Salvage Therapy for AIDS Patients With Active CMV Retinitis Who Are Intolerant of Systemic Therapy,A Phase I/II Open-Labelled Trial of Intravitreal Ganciclovir Salvage Therapy for AIDS Patients With Active CMV Retinitis Who Are Intolerant of Systemic Therapy,,2001,COMPLETED,PHASE1,38.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000688,"A Randomized, Controlled Study of Intravenous Ganciclovir Therapy for Peripheral Cytomegalovirus Retinitis in Patients With AIDS","A Randomized, Controlled Study of Intravenous Ganciclovir Therapy for Peripheral Cytomegalovirus Retinitis in Patients With AIDS",,2001,COMPLETED,PHASE3,180.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000691,"A Phase II Dose-Ranging, Open-Labelled Trial of Foscarnet Salvage Therapy for AIDS Patients With Sight-Threatening CMV Retinitis Who Cannot Be Treated With Ganciclovir Due To Myelosuppression or Treatment Failure","A Phase II Dose-Ranging, Open-Labelled Trial of Foscarnet Salvage Therapy for AIDS Patients With Sight-Threatening CMV Retinitis Who Cannot Be Treated With Ganciclovir Due To Myelosuppression or Treatment Failure",,2001,COMPLETED,PHASE2,156.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,True,False,True,True
NCT00000693,Suppression of Cytomegalovirus Retinitis Utilizing High Dose Intravenous Acyclovir and Oral Zidovudine in Patients With AIDS,Suppression of Cytomegalovirus Retinitis Utilizing High Dose Intravenous Acyclovir and Oral Zidovudine in Patients With AIDS,,2001,COMPLETED,,25.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000697,A Study of Foscarnet in the Treatment of Cytomegalovirus (CMV) of the Eyes in Patients With AIDS Who Cannot Use Ganciclovir,A Phase II Randomized Controlled Trial of Immediate Versus Delayed Foscarnet Therapy in AIDS Patients With Non-Immediately Sight-Threatening CMV Retinitis Who Cannot Be Treated With Ganciclovir Due to Myelosuppression,,2001,WITHDRAWN,PHASE2,0.0,ACTUAL,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000698,A Treatment Protocol for the Use of Intravenous Ganciclovir in AIDS Patients With Immediately Sight-Threatening CMV Retinitis,A Treatment Protocol for the Use of Intravenous Ganciclovir in AIDS Patients With Immediately Sight-Threatening CMV Retinitis,,2001,COMPLETED,PHASE3,,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000726,Foscarnet Treatment of Serious CMV Retinitis Infection in Patients With Acquired Immunodeficiency Syndrome,Foscarnet Treatment of Serious CMV Retinitis Infection in Patients With Acquired Immunodeficiency Syndrome,,2001,COMPLETED,PHASE1,53.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000766,CMV Retinitis Retreatment Trial,CMV Retinitis Retreatment Trial,,2001,COMPLETED,PHASE2,300.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000799,HPMPC (Cidofovir) Peripheral CMV Retinitis Trial Protocol,HPMPC (Cidofovir) Peripheral CMV Retinitis Trial Protocol,,2001,COMPLETED,,100.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000836,A Phase II/III Trial of Human Anti-CMV Monoclonal Antibody MSL 109 (MACRT),A Phase II/III Trial of Human Anti-CMV Monoclonal Antibody MSL 109 (MACRT),,2001,COMPLETED,PHASE2,300.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000881,A Study of Cidofovir in HIV-Infected Children With Cytomegalovirus (CMV) Disease,A Phase I/II Study of Cidofovir for HIV-Infected Children With Invasive CMV (Cytomegalovirus) Disease,,2001,WITHDRAWN,PHASE1,0.0,ACTUAL,NIH,Puerto Rico|United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000894,"Comparison of Two Drugs, Cidofovir and Ganciclovir, in Treating Patients With AIDS Who Have CMV Retinitis",Ganciclovir-Cidofovir CMV Retinitis Trial (GCCRT),,2001,COMPLETED,PHASE4,300.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00000905,A Study to Evaluate the Effects of Stopping Maintenance Therapy for Cytomegalovirus (CMV) Retinitis After Effective Anti-HIV Therapy,"Discontinuation of Maintenance Therapy for Cytomegalovirus (CMV) Retinitis After Immune Reconstitution by Potent Antiretroviral Therapy: Safety, Virology, and Immunology Profiles",,2001,COMPLETED,,75.0,,NIH,United States,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,False
NCT00000970,A Study of Foscarnet Plus Ganciclovir in the Treatment of Cytomegalovirus of the Eye in Patients With AIDS Who Have Already Been Treated With Ganciclovir,A Phase I Open-Labeled Study of Long Term Combined or Alternating Foscarnet/Ganciclovir Maintenance Therapy for AIDS Patients With CMV Retinitis After Ganciclovir Induction Therapy,,2001,COMPLETED,PHASE1,30.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000981,The Safety and Effectiveness of FIAC in the Treatment of Cytomegalovirus (CMV) in Patients With AIDS,Efficacy and Safety of Oral FIAC in AIDS Patients With Cytomegalovirus Infection: A Dose Ranging Study,,2001,COMPLETED,PHASE2,78.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000989,The Safety and Effectiveness of Ganciclovir Used Alone or in Combination With Granulocyte-Macrophage Colony Stimulating Factor in the Treatment of Cytomegalovirus (CMV) of the Eye in Patients With AIDS,"A Controlled, Randomized Phase II Study of the Safety and Efficacy of Combined Therapy With Ganciclovir and Granulocyte-Macrophage Colony Stimulating Factor Versus Ganciclovir Alone for the Treatment of Sight-Threatening Cytomegalovirus Retinitis in AIDS Patients",,2001,COMPLETED,,50.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00001034,The Safety and Effectiveness of Ganciclovir in the Prevention of Cytomegalovirus (CMV) of the Eyes and Disease of the Stomach and Intestines in Patients With HIV,"A Randomized, Comparative, Placebo-Controlled Trial of the Safety and Efficacy of Oral Ganciclovir for Prophylaxis of Cytomegalovirus (CMV) Retinal and Gastrointestinal Mucosal Disease in HIV-Infected Individuals With Severe Immunosuppression",,2001,COMPLETED,PHASE2,850.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,True
NCT00001061,Comparison of Two Methods in the Treatment of Cytomegalovirus of the Eyes in Patients With AIDS,"A Phase II, Double-Masked, Randomized, Placebo-Controlled Evaluation of Standard Therapy vs. Standard Therapy Combined With Human Monoclonal Anti-Cytomegalovirus Antibody (MSL 109) in the Therapy of AIDS Patients With Cytomegalovirus (CMV) Retinitis",,2001,COMPLETED,PHASE2,167.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00001062,A Study of Ganciclovir in the Treatment of Cytomegalovirus of the Eyes,A Phase I Study of a Fixed-Schedule Regimen of Alternating Oral and Intravenous Ganciclovir for Treatment of Cytomegalovirus Retinitis,,2001,COMPLETED,PHASE1,25.0,,NIH,United States,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00001143,Development of the Eye Motor System During the First 7 Months of Life in Infants With and Without a Family History of Cross-Eye,Ocular Motor Development During the First Seven Months of Life in Infants With and Without a Family History of Strabismus,1999-10-31,1999,COMPLETED,,20.0,,NIH,United States,Neuro-Ophthalmology,Neuro-Ophthalmology,Other/Unspecified,False,False,True,True
NCT00001144,Modified Bone Marrow Stem Cell Transplantation for Chronic Myelogenous Leukemia,Non-Myeloablative Allogeneic Peripheral Blood Mobilized Hematopoietic Precursor Cell Transplantation for Chronic Phase CML,1999-10-31,1999,COMPLETED,PHASE2,50.0,,NIH,United States,Ocular Oncology,Ocular Oncology,Pharmacologic,False,False,False,True
NCT00001152,Pigment Dispersion Syndrome With and Without Glaucoma,Pigment Dispersion Syndrome With and Without Glaucoma,1976-06-30,2002,COMPLETED,,175.0,,NIH,United States,Glaucoma,Glaucoma,Other/Unspecified,False,False,True,True
NCT00001153,Visual Function and Ocular Pigmentation in Albinism,Visual Function and Ocular Pigmentation in Albinism,1976-06-30,2002,COMPLETED,,130.0,,NIH,United States,General/Other,General/Other,Other/Unspecified,False,False,True,True
NCT00001161,"Abnormalities of the Eye's Anterior Chamber, Iris, Cornea and Lens","Anomalies of the Anterior Chamber, Angle, Iris, Cornea and Lens With or Without Glaucoma or Ocular Hypertension",1977-07-31,1999,COMPLETED,,100.0,,NIH,United States,Glaucoma,Glaucoma,Other/Unspecified,False,False,True,True
NCT00001164,"Studies of Patients With Skin Disease, Patients With Neurological Degenerations, and Normal Volunteers","Studies of Patients With Skin Disease, Patients With Neurological Degenerations, and Normal Volunteers",1978-07-31,2002,COMPLETED,,,,NIH,United States,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,True
NCT00001166,Gyrate Atrophy of the Choroid and Retina,"The Diagnosis, Pathogenesis and Treatment of Gyrate Atrophy of the Choroid and Retina",1978-01-31,1999,COMPLETED,,65.0,,NIH,United States,Uveitis & Inflammation,Uveitis & Inflammation,Other/Unspecified,False,False,True,True
NCT00001172,Visual Stimulus and Eye Movement,Visual Motor Coordination in Man,1980-08-26,1999,COMPLETED,,225.0,,NIH,United States,Cornea & Ocular Surface,Cornea & Ocular Surface,Other/Unspecified,False,False,False,True
NCT00001196,Evaluation of Salivary Gland Dysfunction,Evaluation of Salivary Gland Dysfunction,1984-03-23,1999,TERMINATED,,1740.0,ACTUAL,NIH,United States,Cornea & Ocular Surface,Cornea & Ocular Surface,Other/Unspecified,False,False,True,False
NCT00001213,Cysteamine Eye Drops to Treat Corneal Crystals in Cystinosis,Trial of Topical Cysteamine in the Treatment of Corneal Cystine Crystal Accumulation in Cystinosis,1986-04-30,1999,COMPLETED,PHASE2,328.0,ACTUAL,NIH,United States,Cornea & Ocular Surface,Cornea & Ocular Surface,Pharmacologic,False,False,False,True
NCT00001224,Analysis of Eye Tissue,Immunologic Analysis of Intra-Ocular Tissue,1987-07-31,1999,COMPLETED,,150.0,,NIH,United States,Uveitis & Inflammation,Uveitis & Inflammation,Surgical/Interventional,False,True,False,True
NCT00001234,Gene Therapy for Gaucher's and Fabry Disease Using Viruses and Blood-Forming Cells,Retroviral-Mediated Transfer and Expression of Glucocerebrosidase and Ceramidtrihexosidase (a-Galactosidase A) cDNA's in Human Hematopoietic Progenitor Cells,1988-01-31,1999,COMPLETED,PHASE1,120.0,,NIH,United States,General/Other,General/Other,Genetic/Gene therapy,False,False,False,True
NCT00001278,Study of Eye Tissue for Sarcoidosis,Immunologic Assay of Conjunctiva and Lacrimal Gland for Sarcoidosis,1991-05-31,2002,COMPLETED,,30.0,,NIH,United States,Uveitis & Inflammation,Uveitis & Inflammation,Surgical/Interventional,False,True,False,True
NCT00001310,Tissue Studies of Human Eye Diseases,Immunopathology and Molecular Pathology of Ocular Diseases in Humans,1992-03-05,1999,TERMINATED,,3833.0,ACTUAL,NIH,United States,Uveitis & Inflammation,Uveitis & Inflammation,Other/Unspecified,False,False,True,True
NCT00001311,Modified Intraocular Lens to Reduce Eye Inflammation After Cataract Surgery in Uveitis Patients,Evaluation of the Efficacy of a Surface Modified Intraocular Lens in Reducing Post-Operative Inflammatory Signs Following Extracapsular Surgery in Uveitis Patients With Cataracts,1992-04-30,2002,COMPLETED,PHASE2,80.0,,NIH,United States,Uveitis & Inflammation,Uveitis & Inflammation,Device/Hardware,False,False,True,True
NCT00001346,Diabetic Retinopathy and Visual Function Study,Diabetic Retinopathy and Visual Function Study,1992-11-30,2002,COMPLETED,,100.0,,NIH,United States,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,True
NCT00001347,"Study of Usher Syndromes, Type 1 and Type 2",Usher Syndrome - Clinical and Molecular Studies,1993-06-30,1999,COMPLETED,,200.0,,NIH,United States,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,True
NCT00001373,Familial Mediterranean Fever and Related Disorders: Genetics and Disease Characteristics,"An Exploratory Study of the Genetics, Pathophysiology, and Natural History of Autoinflammatory Diseases",1994-03-10,1999,RECRUITING,,5000.0,ESTIMATED,NIH,United States,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,True
NCT00001378,A Pilot Trial of Tamoxifen and 4-HPR (4-N-Hydroxyphenyl Retinamide) in Persons at High Risk for Developing Breast Cancer,A Pilot Trial of Tamoxifen and 4-HPR (4-N-Hydroxyphenyl Retinamide) in Persons at High Risk for Developing Breast Cancer,1994-01-31,2002,COMPLETED,PHASE1,75.0,,NIH,United States,General/Other,General/Other,Pharmacologic,False,False,False,True
NCT00001395,Long Term Follow-Up of Diabetic Retinopathy,Long Term Follow-Up of Diabetic Retinopathy,1994-03-31,2002,COMPLETED,,75.0,,NIH,United States,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,True
NCT00001456,Clinical and Basic Investigations Into Hermansky-Pudlak Syndrome,Clinical and Basic Investigations Into Hermansky-Pudlak Syndrome,1995-11-06,1999,RECRUITING,,600.0,ESTIMATED,NIH,United States,General/Other,General/Other,Other/Unspecified,False,False,True,False
NCT00001491,Analysis of the Nervous System in Patients With Fabry's Disease,The Natural History and Pathogenesis of Fabry Disease,1995-05-11,1999,COMPLETED,,325.0,,NIH,United States,General/Other,General/Other,Other/Unspecified,False,False,False,True
NCT00001526,ANTI-TAC THERAPY FOR UVEITIS,Trial of Treatment of Non-Infectious Intermediate and Posterior Uveitis With Humanized Anti-Tac Antibody Therapy,1996-06-04,1999,COMPLETED,PHASE1,15.0,,NIH,United States,Uveitis & Inflammation,Uveitis & Inflammation,Pharmacologic,False,False,True,True
NCT00001549,Diagnosis and Natural History Study of Patients With Neurological Conditions,Diagnosis and Natural History Protocol for Patients With Neurological Conditions,1995-10-31,1999,COMPLETED,,600.0,,NIH,United States,Neuro-Ophthalmology,Neuro-Ophthalmology,Other/Unspecified,False,False,True,False
NCT00001596,Oral Pirfenidone for the Pulmonary Fibrosis of Hermansky-Pudlak Syndrome,Therapeutic Clinical Trial of Oral Pirfenidone for the Pulmonary Fibrosis of Hermansky-Pudlak Syndrome,2005-09-30,1999,COMPLETED,PHASE2,35.0,ACTUAL,NIH,Puerto Rico|United States,General/Other,General/Other,Pharmacologic,False,False,True,False
